text,topic,topic_int
"One Small City, One Powerhouse Team",Sports,0
"The Dow Hits 25,000: The Party Will End One Day, but When?",Business,1
Two Ways to Go About a Losing Season,Sports,0
"Media Giant, in the Heartland",Business,1
Baseball’s Data Revolution Is Elevating Game’s Defensive Stars,Sports,0
Seeking a Million Patients to Deposit Genomes,Science,2
"The dire existence of young athletes in Madison, Ind.: “You just can’t believe this is all happening in one small community.”",Sports,0
Intertwined Tech Services Blunt Boycotts,Business,1
"Advertisers, especially smaller ones, complain of inconsistency and gender bias in the process that determines whether images are rejected for being sexually suggestive. ",Business,1
Stephen Colbert Asks Why Trump Is Scared of Stormy Daniels,Culture,3
A Punch Line  Feels Like A Gut Punch,Culture,3
A New Spider Family Tree Tries to Untangle the Evolution of Webs,Science,2
"This musical about a demonic barber could be more penetrating, but still respects the original story’s depiction of madness.",Culture,3
"Time spent together over the grapefruit, the grilled cheese, the tilapia can be the crux of real companionship.",Science,2
There is a precedent for letting states impose work requirements on the poor for medical coverage. It bodes ill for public health.,Business,1
"One way to end the strained relationship between Carmelo Anthony and the Knicks’ president, Phil Jackson, would be for one of them to leave. But which one?",Sports,0
A shortage of candidates is providing opportunities to people long shunned by employers and is forcing recruiters to consider new approaches to hiring.,Business,1
Marianne Elliott’s London-born production of Tony Kushner’s masterwork is blazingly reimagined with a cast including Nathan Lane and Andrew Garfield.,Culture,3
It’s O.K. to Play in the Street,Culture,3
"We want to explore which commercials push our readers’ buttons, and then ask the people who created the ads just what they had in mind.",Business,1
Season of Change and Challenge,Sports,0
A Disquieting Silence,Culture,3
Aboriginal Australians have long believed that some predatory birds deliberately spread wildfires. A few ornithologists have set out to find proof.,Science,2
"That’s Right, No. 1 With A Pulitzer",Culture,3
"Four years after Texas gave up millions of dollars in federal Medicaid funds, a request presents an important early test for the Trump administration.",Science,2
"After buying Time Inc. for $2.8 billion, Meredith is the largest magazine company in the United States, but it’s not about to change its unassuming style.",Business,1
"In “946: The Amazing Story of Adolphus Tips,” Emma Rice directs a fanciful adaptation of another novel by Michael Morpurgo, the author of “War Horse.”",Culture,3
"About a dozen venture capitalists recently took a bus tour through the Midwest, and a funny thing happened: They caught the heartland bug.",Business,1
"Legislation by a New York City councilman calls for stadiums with more than 5,000 seats to extend protective nets from home plate to the foul poles.",Sports,0
"For Teams and Players, a Revolving Door of Discipline",Sports,0
"‘Fargo’ Season 3, Episode 7: The World Is Wrong",Culture,3
The American cockroach has the second largest insect genome ever sequenced. The variety of genes may help it survive in a multitude of environments.,Science,2
"‘Star Trek: Discovery’ Season 1, Episode 15: Wrapping Up",Culture,3
German Art Collectors Face Painful Past: Do I Own Nazi Loot?,Culture,3
"Contrary to some assumptions, Taylor may turn out to be Axe’s truest protégé and disciple.",Culture,3
